Name,Price,Day,League
Tainted Divine Teardrop,17.15722,4,Scourge
Tainted Divine Teardrop,19.58656,5,Scourge
Tainted Divine Teardrop,18.17119,6,Scourge
Tainted Divine Teardrop,25.52155,7,Scourge
Tainted Divine Teardrop,22,8,Scourge
Tainted Divine Teardrop,29.65931,9,Scourge
Tainted Divine Teardrop,32.37025,10,Scourge
Tainted Divine Teardrop,46.38608,11,Scourge
Tainted Divine Teardrop,63.18719,12,Scourge
Tainted Divine Teardrop,60,13,Scourge
Tainted Divine Teardrop,50,14,Scourge
Tainted Divine Teardrop,48.21396,15,Scourge
Tainted Divine Teardrop,50,16,Scourge
Tainted Divine Teardrop,50.75125,17,Scourge
Tainted Divine Teardrop,58.13407,18,Scourge
Tainted Divine Teardrop,69.5,19,Scourge
Tainted Divine Teardrop,143.00375,20,Scourge
Tainted Divine Teardrop,73.57502,21,Scourge
Tainted Divine Teardrop,73.0452,22,Scourge
Tainted Divine Teardrop,72.25,23,Scourge
Tainted Divine Teardrop,72.35006,24,Scourge
Tainted Divine Teardrop,72.5,25,Scourge
Tainted Divine Teardrop,72.99377,26,Scourge
Tainted Divine Teardrop,72.5,27,Scourge
Tainted Divine Teardrop,72.5,28,Scourge
Tainted Divine Teardrop,72.46153846153847,29,Scourge
Prime Regrading Lens,10,1,Scourge
Prime Regrading Lens,15,2,Scourge
Prime Regrading Lens,16,3,Scourge
Prime Regrading Lens,15,4,Scourge
Prime Regrading Lens,15,5,Scourge
Prime Regrading Lens,20,6,Scourge
Prime Regrading Lens,23,7,Scourge
Prime Regrading Lens,23,8,Scourge
Prime Regrading Lens,23,9,Scourge
Prime Regrading Lens,26.37006,10,Scourge
Prime Regrading Lens,30.65,11,Scourge
Prime Regrading Lens,37.1485,12,Scourge
Prime Regrading Lens,39,13,Scourge
Prime Regrading Lens,39.047,14,Scourge
Prime Regrading Lens,40,15,Scourge
Prime Regrading Lens,45.24313,16,Scourge
Prime Regrading Lens,49.69322,17,Scourge
Prime Regrading Lens,61,18,Scourge
Prime Regrading Lens,60,19,Scourge
Prime Regrading Lens,69.66573,20,Scourge
Prime Regrading Lens,70,21,Scourge
Prime Regrading Lens,64.4325,22,Scourge
Prime Regrading Lens,61.8005,23,Scourge
Prime Regrading Lens,72,24,Scourge
Prime Regrading Lens,72.40969,25,Scourge
Prime Regrading Lens,72.8948,26,Scourge
Prime Regrading Lens,72.5,27,Scourge
Prime Regrading Lens,72.5,28,Scourge
Prime Regrading Lens,72.5,29,Scourge
Tailoring Orb,27.96875,1,Scourge
Tailoring Orb,17.9446,2,Scourge
Tailoring Orb,17,3,Scourge
Tailoring Orb,17,4,Scourge
Tailoring Orb,19.56925,5,Scourge
Tailoring Orb,17.97159,6,Scourge
Tailoring Orb,18,7,Scourge
Tailoring Orb,18,8,Scourge
Tailoring Orb,24,9,Scourge
Tailoring Orb,21.99105,10,Scourge
Tailoring Orb,44.36986,11,Scourge
Tailoring Orb,38,12,Scourge
Tailoring Orb,41.19246,13,Scourge
Tailoring Orb,44.5,14,Scourge
Tailoring Orb,45,15,Scourge
Tailoring Orb,38.99683,16,Scourge
Tailoring Orb,38,17,Scourge
Tailoring Orb,78.23276,18,Scourge
Tailoring Orb,64.96843,19,Scourge
Tailoring Orb,55,20,Scourge
Tailoring Orb,50.6,21,Scourge
Tailoring Orb,59.02692,22,Scourge
Tailoring Orb,59.26677,23,Scourge
Tailoring Orb,59.57173,24,Scourge
Tailoring Orb,64.31205,25,Scourge
Tailoring Orb,60,26,Scourge
Tailoring Orb,65,27,Scourge
Tailoring Orb,65.16667,28,Scourge
Tailoring Orb,72,29,Scourge
Redeemer's Exalted Orb,73.4812,1,Scourge
Redeemer's Exalted Orb,40.8765,2,Scourge
Redeemer's Exalted Orb,30,3,Scourge
Redeemer's Exalted Orb,35,4,Scourge
Redeemer's Exalted Orb,31.35198,5,Scourge
Redeemer's Exalted Orb,38.0936,6,Scourge
Redeemer's Exalted Orb,39.34423,7,Scourge
Redeemer's Exalted Orb,40,8,Scourge
Redeemer's Exalted Orb,53.984,9,Scourge
Redeemer's Exalted Orb,50,10,Scourge
Redeemer's Exalted Orb,68,11,Scourge
Redeemer's Exalted Orb,62.10544,12,Scourge
Redeemer's Exalted Orb,60,13,Scourge
Redeemer's Exalted Orb,63,14,Scourge
Redeemer's Exalted Orb,86.76733,15,Scourge
Redeemer's Exalted Orb,61.5,16,Scourge
Redeemer's Exalted Orb,62.60773,17,Scourge
Redeemer's Exalted Orb,66.01505,18,Scourge
Redeemer's Exalted Orb,69.50017,19,Scourge
Redeemer's Exalted Orb,71,20,Scourge
Redeemer's Exalted Orb,72.9475,21,Scourge
Redeemer's Exalted Orb,73.10013,22,Scourge
Redeemer's Exalted Orb,72,23,Scourge
Redeemer's Exalted Orb,72,24,Scourge
Redeemer's Exalted Orb,72.48756,25,Scourge
Redeemer's Exalted Orb,72.98686,26,Scourge
Redeemer's Exalted Orb,72.5,27,Scourge
Redeemer's Exalted Orb,72.5,28,Scourge
Redeemer's Exalted Orb,70,29,Scourge
Crusader's Exalted Orb,58.17647,1,Scourge
Crusader's Exalted Orb,22.16458,2,Scourge
Crusader's Exalted Orb,24,3,Scourge
Crusader's Exalted Orb,28,4,Scourge
Crusader's Exalted Orb,29.45,5,Scourge
Crusader's Exalted Orb,36,6,Scourge
Crusader's Exalted Orb,38,7,Scourge
Crusader's Exalted Orb,39.61095,8,Scourge
Crusader's Exalted Orb,45,9,Scourge
Crusader's Exalted Orb,47.35051,10,Scourge
Crusader's Exalted Orb,56.75395,11,Scourge
Crusader's Exalted Orb,56,12,Scourge
Crusader's Exalted Orb,50,13,Scourge
Crusader's Exalted Orb,57.35552,14,Scourge
Crusader's Exalted Orb,60,15,Scourge
Crusader's Exalted Orb,59,16,Scourge
Crusader's Exalted Orb,56,17,Scourge
Crusader's Exalted Orb,55,18,Scourge
Crusader's Exalted Orb,60,19,Scourge
Crusader's Exalted Orb,70,20,Scourge
Crusader's Exalted Orb,70,21,Scourge
Crusader's Exalted Orb,70,22,Scourge
Crusader's Exalted Orb,68,23,Scourge
Crusader's Exalted Orb,68,24,Scourge
Crusader's Exalted Orb,70,25,Scourge
Crusader's Exalted Orb,70,26,Scourge
Crusader's Exalted Orb,64.23174,27,Scourge
Crusader's Exalted Orb,60,28,Scourge
Crusader's Exalted Orb,56.3,29,Scourge
Elevated Sextant,30,1,Scourge
Elevated Sextant,14.02632,2,Scourge
Elevated Sextant,8.44149,3,Scourge
Elevated Sextant,10,4,Scourge
Elevated Sextant,13,5,Scourge
Elevated Sextant,14,6,Scourge
Elevated Sextant,14,7,Scourge
Elevated Sextant,15,8,Scourge
Elevated Sextant,15.96835,9,Scourge
Elevated Sextant,17,10,Scourge
Elevated Sextant,22,11,Scourge
Elevated Sextant,21.85064,12,Scourge
Elevated Sextant,22,13,Scourge
Elevated Sextant,20,14,Scourge
Elevated Sextant,20,15,Scourge
Elevated Sextant,21.03985,16,Scourge
Elevated Sextant,23.33298,17,Scourge
Elevated Sextant,24,18,Scourge
Elevated Sextant,25,19,Scourge
Elevated Sextant,29,20,Scourge
Elevated Sextant,30,21,Scourge
Elevated Sextant,30,22,Scourge
Elevated Sextant,30,23,Scourge
Elevated Sextant,30,24,Scourge
Elevated Sextant,30,25,Scourge
Elevated Sextant,30.43758,26,Scourge
Elevated Sextant,31,27,Scourge
